Year,Player
1996,Shaquille O'Neal
1997,Karl Malone
1997,Michael Jordan
1997,Grant Hill
1997,Tim Hardaway
1997,Glen Rice
1997,Gary Payton
1997,Hakeem Olajuwon
1997,Patrick Ewing
1997,Anthony Mason
1997,Shaquille O'Neal
1998,Michael Jordan
1998,Karl Malone
1998,Gary Payton
1998,Shaquille O'Neal
1998,Tim Duncan
1998,Tim Hardaway
1998,David Robinson
1998,Vin Baker
1998,Grant Hill
1998,Scottie Pippen
1999,Karl Malone
1999,Alonzo Mourning
1999,Tim Duncan
1999,Allen Iverson
1999,Jason Kidd
1999,Shaquille O'Neal
1999,Chris Webber
1999,Grant Hill
1999,Gary Payton
1999,Kevin Garnett
2000,Shaquille O'Neal
2000,Kevin Garnett
2000,Alonzo Mourning
2000,Karl Malone
2000,Tim Duncan
2000,Gary Payton
2000,Allen Iverson
2000,Grant Hill
2000,Chris Webber
2000,Vince Carter
2001,Allen Iverson
2001,Tim Duncan
2001,Shaquille O'Neal
2001,Chris Webber
2001,Kevin Garnett
2001,Tracy McGrady
2001,Karl Malone
2001,Jason Kidd
2001,Kobe Bryant
2001,David Robinson
2002,Tim Duncan
2002,Jason Kidd
2002,Shaquille O'Neal
2002,Tracy McGrady
2002,Kobe Bryant
2002,Gary Payton
2002,Chris Webber
2002,Dirk Nowitzki
2002,Allen Iverson
2002,Ben Wallace
2003,Tim Duncan
2003,Kevin Garnett
2003,Kobe Bryant
2003,Tracy McGrady
2003,Shaquille O'Neal
2003,Allen Iverson
2003,Dirk Nowitzki
2003,Ben Wallace
2003,Jason Kidd
2003,Chris Webber
2004,Kevin Garnett
2004,Tim Duncan
2004,Jermaine O'Neal
2004,Peja Stojaković
2004,Kobe Bryant
2004,Shaquille O'Neal
2004,Ben Wallace
2004,Jason Kidd
2004,LeBron James
2004,Sam Cassell
2004,Baron Davis
2004,Dirk Nowitzki
2005,Steve Nash
2005,Shaquille O'Neal
2005,Dirk Nowitzki
2005,Tim Duncan
2005,Allen Iverson
2005,LeBron James
2005,Tracy McGrady
2005,Dwyane Wade
2005,Amar'e Stoudemire
2005,Ray Allen
2006,Steve Nash
2006,LeBron James
2006,Dirk Nowitzki
2006,Kobe Bryant
2006,Chauncey Billups
2006,Dwyane Wade
2006,Elton Brand
2006,Tim Duncan
2006,Tony Parker
2006,Allen Iverson
2006,Shawn Marion
2007,Dirk Nowitzki
2007,Steve Nash
2007,Kobe Bryant
2007,Tim Duncan
2007,LeBron James
2007,Tracy McGrady
2007,Chris Bosh
2007,Gilbert Arenas
2007,Carlos Boozer
2007,Kevin Garnett
2008,Kobe Bryant
2008,Chris Paul
2008,Kevin Garnett
2008,LeBron James
2008,Dwight Howard
2008,Amar'e Stoudemire
2008,Tim Duncan
2008,Tracy McGrady
2008,Steve Nash
2008,Manu Ginóbili
2009,LeBron James
2009,Kobe Bryant
2009,Dwyane Wade
2009,Dwight Howard
2009,Chris Paul
2009,Chauncey Billups
2009,Paul Pierce
2009,Tony Parker
2009,Brandon Roy
2009,Dirk Nowitzki
2010,LeBron James
2010,Kevin Durant
2010,Kobe Bryant
2010,Dwight Howard
2010,Dwyane Wade
2010,Carmelo Anthony
2010,Dirk Nowitzki
2010,Steve Nash
2010,Deron Williams
2010,Amar'e Stoudemire
2011,Derrick Rose
2011,Dwight Howard
2011,LeBron James
2011,Kobe Bryant
2011,Kevin Durant
2011,Dirk Nowitzki
2011,Dwyane Wade
2011,Manu Ginóbili
2011,Amar'e Stoudemire
2011,Blake Griffin
2011,Rajon Rondo
2012,LeBron James
2012,Kevin Durant
2012,Chris Paul
2012,Kobe Bryant
2012,Tony Parker
2012,Kevin Love
2012,Dwight Howard
2012,Rajon Rondo
2012,Steve Nash
2012,Dwyane Wade
2013,LeBron James
2013,Kevin Durant
2013,Carmelo Anthony
2013,Chris Paul
2013,Kobe Bryant
2013,Tony Parker
2013,Tim Duncan
2013,James Harden
2013,Russell Westbrook
2013,Dwyane Wade
2014,Kevin Durant
2014,LeBron James
2014,Blake Griffin
2014,Joakim Noah
2014,James Harden
2014,Stephen Curry
2014,Chris Paul
2014,Al Jefferson
2014,Paul George
2014,LaMarcus Aldridge
2015,Stephen Curry
2015,James Harden
2015,LeBron James
2015,Russell Westbrook
2015,Anthony Davis
2015,Chris Paul
2015,LaMarcus Aldridge
2015,Marc Gasol
2015,Blake Griffin
2015,Tim Duncan
2015,Kawhi Leonard
2015,Klay Thompson
2016,Stephen Curry
2016,Kawhi Leonard
2016,LeBron James
2016,Russell Westbrook
2016,Kevin Durant
2016,Chris Paul
2016,Draymond Green
2016,Damian Lillard
2016,James Harden
2016,Kyle Lowry
2017,Russell Westbrook
2017,James Harden
2017,Kawhi Leonard
2017,LeBron James
2017,Isaiah Thomas
2017,Stephen Curry
2017,Giannis Antetokounmpo
2017,John Wall
2017,Anthony Davis
2017,Kevin Durant
2017,DeMar DeRozan
